agent-1  | [2m2026-09-11T23:07:46.605289Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.lMU8zH[0m [36mtotal_drops[0m=[35m5840[0m
backend-1  | {"alert_id": 1, "event_id": "[REDACTED-OPAQUE]", "severity": "high", "event": "notify.alert_created", "level": "info", "timestamp": "2026-09-11T23:06:56.382755Z"}
backend-1  | {"severity": "high", "event_id": "[REDACTED-OPAQUE]", "path": "/watch/[REDACTED-LAB-FILE]", "alert_id": 1, "event": "notifier.log_only", "level": "critical", "timestamp": "2026-09-11T23:06:56.387896Z"}
backend-1  | {"alert_id": 1, "channel": "log_only", "event": "notify.delivered", "level": "info", "timestamp": "2026-09-11T23:06:56.392575Z"}
backend-1  | INFO:     172.25.0.5:44456 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44474 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44472 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44484 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44488 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44498 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44512 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44514 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44524 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44530 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44540 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44558 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44576 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44588 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44562 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44602 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | {"event_id": 2, "agent_id": "[REDACTED-OPAQUE]", "ruleset_version": 5, "command_id": "[REDACTED-OPAQUE]", "event": "streams.actions.[REDACTED-OPAQUE]", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:06:59.011500Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:06:59.019119Z"}
backend-1  | {"event_id": 2, "user_id": 1, "event": "service.actions.approve", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:06:59.019290Z"}
backend-1  | INFO:     172.25.0.5:44606 - "POST /actions/bulk-approve HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:44618 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
backend-1  | {"command_id": "[REDACTED-OPAQUE]", "command_type": "baseline_update", "status": "ok", "event": "command_ack_consumer.processed", "level": "info", "timestamp": "2026-09-11T23:06:59.059663Z"}
backend-1  | INFO:     172.25.0.5:56512 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56532 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56516 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56536 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56540 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56546 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56542 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56556 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56554 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56552 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56562 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56566 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56582 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56586 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56590 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56594 - "POST /auth/logout HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56600 - "POST /auth/refresh HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.25.0.5:56612 - "POST /auth/refresh HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.25.0.5:56624 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56642 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56626 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56652 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56666 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56688 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56720 - "GET /rules HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56708 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56702 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56728 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | {"version": 6, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:07.046514Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:07.066023Z"}
backend-1  | INFO:     172.25.0.5:56736 - "POST /rules HTTP/1.1" 201 Created
backend-1  | INFO:     172.25.0.5:56750 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"version": 7, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:08.427478Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:08.441746Z"}
backend-1  | INFO:     172.25.0.5:56762 - "PUT /rules/3 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:56778 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"version": 8, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:11.683152Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:11.694806Z"}
backend-1  | INFO:     172.25.0.5:38516 - "DELETE /rules/3 HTTP/1.1" 204 No Content
backend-1  | INFO:     172.25.0.5:38524 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"event_id": "[REDACTED-OPAQUE]", "agent_id": "[REDACTED-OPAQUE]", "event": "consumer.event_persisted", "level": "info", "timestamp": "2026-09-11T23:07:14.823636Z"}
backend-1  | INFO:     172.25.0.5:38536 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38544 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38568 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38554 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38570 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38572 - "GET /agents HTTP/1.1" 200 OK
backend-1  | {"version": 9, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:18.741146Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:18.747641Z"}
backend-1  | INFO:     172.25.0.5:38580 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38576 - "POST /rules HTTP/1.1" 201 Created
backend-1  | INFO:     172.25.0.5:38582 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38588 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38604 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38624 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38608 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38636 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38648 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38656 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | {"event_id": "[REDACTED-OPAQUE]", "agent_id": "[REDACTED-OPAQUE]", "event": "consumer.event_persisted", "level": "info", "timestamp": "2026-09-11T23:07:20.309471Z"}
backend-1  | {"alert_id": 2, "event_id": "[REDACTED-OPAQUE]", "severity": "high", "event": "notify.alert_created", "level": "info", "timestamp": "2026-09-11T23:07:20.313811Z"}
backend-1  | {"severity": "high", "event_id": "[REDACTED-OPAQUE]", "path": "/watch/[REDACTED-LAB-FILE]", "alert_id": 2, "event": "notifier.log_only", "level": "critical", "timestamp": "2026-09-11T23:07:20.316463Z"}
backend-1  | {"alert_id": 2, "channel": "log_only", "event": "notify.delivered", "level": "info", "timestamp": "2026-09-11T23:07:20.318614Z"}
backend-1  | INFO:     172.25.0.5:38668 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38682 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38676 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38694 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38710 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38720 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38722 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38732 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38740 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38748 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:38752 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33488 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33522 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33510 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33502 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33516 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | {"event_id": 4, "agent_id": "[REDACTED-OPAQUE]", "ruleset_version": 10, "command_id": "[REDACTED-OPAQUE]", "event": "streams.actions.[REDACTED-OPAQUE]", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:22.912464Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:22.927913Z"}
backend-1  | {"event_id": 4, "user_id": 1, "event": "service.actions.approve", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:22.927976Z"}
backend-1  | INFO:     172.25.0.5:33526 - "POST /actions/bulk-approve HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33530 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
backend-1  | {"command_id": "[REDACTED-OPAQUE]", "command_type": "baseline_update", "status": "ok", "event": "command_ack_consumer.processed", "level": "info", "timestamp": "2026-09-11T23:07:22.950895Z"}
backend-1  | INFO:     172.25.0.5:33544 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33556 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33552 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33562 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33576 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33594 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33592 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33602 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33614 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33624 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33636 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33646 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33660 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33676 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33692 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33704 - "POST /auth/logout HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33718 - "POST /auth/refresh HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.25.0.5:33720 - "POST /auth/refresh HTTP/1.1" 401 Unauthorized
backend-1  | INFO:     172.25.0.5:33728 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33750 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33740 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33752 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33754 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33776 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33814 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33790 - "GET /rules HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33800 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:33784 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | {"version": 11, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:30.773515Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:30.790406Z"}
backend-1  | INFO:     172.25.0.5:33830 - "POST /rules HTTP/1.1" 201 Created
backend-1  | INFO:     172.25.0.5:33846 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"version": 12, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:32.163295Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:32.169435Z"}
backend-1  | INFO:     172.25.0.5:54682 - "PUT /rules/5 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54688 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"version": 13, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:35.414688Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:35.424777Z"}
backend-1  | INFO:     172.25.0.5:54694 - "DELETE /rules/5 HTTP/1.1" 204 No Content
backend-1  | INFO:     172.25.0.5:54706 - "GET /rules HTTP/1.1" 200 OK
backend-1  | {"event_id": "[REDACTED-OPAQUE]", "agent_id": "[REDACTED-OPAQUE]", "event": "consumer.event_persisted", "level": "info", "timestamp": "2026-09-11T23:07:38.505751Z"}
backend-1  | INFO:     172.25.0.5:54722 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53786 - "POST /auth/login HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53792 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53790 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53804 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53812 - "GET /agents HTTP/1.1" 200 OK
backend-1  | {"version": 14, "agents": 1, "event": "service.rules.enqueue_rule_sync.done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:42.378853Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:42.384169Z"}
backend-1  | INFO:     172.25.0.5:53828 - "POST /rules HTTP/1.1" 201 Created
backend-1  | INFO:     172.25.0.5:53844 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53860 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53878 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53866 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53884 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53896 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53906 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53922 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53932 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
backend-1  | {"event_id": "[REDACTED-OPAQUE]", "agent_id": "[REDACTED-OPAQUE]", "event": "consumer.event_persisted", "level": "info", "timestamp": "2026-09-11T23:07:43.911830Z"}
backend-1  | {"alert_id": 3, "event_id": "[REDACTED-OPAQUE]", "severity": "high", "event": "notify.alert_created", "level": "info", "timestamp": "2026-09-11T23:07:43.915538Z"}
backend-1  | {"severity": "high", "event_id": "[REDACTED-OPAQUE]", "path": "/watch/[REDACTED-LAB-FILE]", "alert_id": 3, "event": "notifier.log_only", "level": "critical", "timestamp": "2026-09-11T23:07:43.918088Z"}
backend-1  | {"alert_id": 3, "channel": "log_only", "event": "notify.delivered", "level": "info", "timestamp": "2026-09-11T23:07:43.920919Z"}
backend-1  | INFO:     172.25.0.5:53952 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53936 - "GET /agents HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53950 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53962 - "GET /events?status=pending&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53970 - "GET /events?status=approved&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53982 - "GET /events?status=auto_restored&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53972 - "GET /events?status=rejected&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:53996 - "GET /events?status=quarantined&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54002 - "GET /events?status=alert_only&page_size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54008 - "GET /events?status=superseded&page_size=1 HTTP/1.1" 200 OK
agent-1    | [2m2026-09-11T23:07:49.339368Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.9yC2Z1[0m [36mtotal_drops[0m=[35m5931[0m
backend-1  | INFO:     172.25.0.5:54018 - "GET /events?status=pending&severity=critical&severity=high&page_size=1 HTTP/1.1" 200 OK
agent-1    | [2m2026-09-11T23:07:49.339560Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.BlLj3m[0m [36mtotal_drops[0m=[35m5932[0m
agent-1    | [2m2026-09-11T23:07:49.339783Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.mn3c2T[0m [36mtotal_drops[0m=[35m5933[0m
agent-1    | [2m2026-09-11T23:07:49.340014Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.8lw3Ip[0m [36mtotal_drops[0m=[35m5934[0m
agent-1    | [2m2026-09-11T23:07:49.340272Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.MOmUkq[0m [36mtotal_drops[0m=[35m5935[0m
agent-1    | [2m2026-09-11T23:07:49.340409Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.tqTj8U[0m [36mtotal_drops[0m=[35m5936[0m
backend-1  | INFO:     172.25.0.5:54028 - "POST /auth/refresh HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54066 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54052 - "GET /alerts?status=failed&size=1 HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54036 - "GET /health/components HTTP/1.1" 200 OK
backend-1  | INFO:     172.25.0.5:54078 - "GET /alerts/stream?token=[REDACTED-JWT] HTTP/1.1" 200 OK
agent-1    | [2m2026-09-11T23:07:49.340525Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.YDumSn[0m [36mtotal_drops[0m=[35m5937[0m
backend-1  | {"event_id": 6, "agent_id": "[REDACTED-OPAQUE]", "ruleset_version": 15, "command_id": "[REDACTED-OPAQUE]", "event": "streams.actions.[REDACTED-OPAQUE]", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:46.556130Z"}
backend-1  | {"published": 1, "event": "service.rules.[REDACTED-OPAQUE].done", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:46.577163Z"}
agent-1    | [2m2026-09-11T23:07:49.340742Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.eAywM6[0m [36mtotal_drops[0m=[35m5938[0m
backend-1  | {"event_id": 6, "user_id": 1, "event": "service.actions.approve", "trace_id": "[REDACTED-OPAQUE]", "level": "info", "timestamp": "2026-09-11T23:07:46.577358Z"}
agent-1    | [2m2026-09-11T23:07:49.340941Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.AfggCR[0m [36mtotal_drops[0m=[35m5939[0m
backend-1  | INFO:     172.25.0.5:54090 - "POST /actions/bulk-approve HTTP/1.1" 200 OK
agent-1    | [2m2026-09-11T23:07:49.341095Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.9zrPZx[0m [36mtotal_drops[0m=[35m5940[0m
backend-1  | {"command_id": "[REDACTED-OPAQUE]", "command_type": "baseline_update", "status": "ok", "event": "command_ack_consumer.processed", "level": "info", "timestamp": "2026-09-11T23:07:46.603690Z"}
agent-1    | [2m2026-09-11T23:07:49.341313Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.6ThCmv[0m [36mtotal_drops[0m=[35m5941[0m
backend-1  | INFO:     172.25.0.5:54092 - "GET /events?status=pending&path_prefix=/watch/[REDACTED-LAB-FILE]&page_size=50 HTTP/1.1" 200 OK
agent-1    | [2m2026-09-11T23:07:49.341570Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.k9RNNi[0m [36mtotal_drops[0m=[35m5942[0m
agent-1    | [2m2026-09-11T23:07:49.341742Z[0m [[33m[1mwarning  [0m] [1mdetector.out_of_scope_drop    [0m [36mpath[0m=[35m/.org.chromium.Chromium.7YpGkW[0m [36mtotal_drops[0m=[35m5943[0m
